"MAT1MO" "MAT3MO" "MAT6MO" "MAT1YR" "MAT2YR" "MAT3YR" "MAT5YR" "MAT7YR" "MAT10YR" "MAT20YR" "MAT30YR"
"2006-02-09" 4.32 4.52 4.67 4.66 4.66 4.62 4.55 4.55 4.54 4.72 4.51
"2006-02-10" 4.36 4.53 4.7 4.7 4.69 4.67 4.59 4.59 4.59 4.76 4.55
"2006-02-13" 4.38 4.55 4.71 4.7 4.68 4.66 4.58 4.58 4.58 4.76 4.56
"2006-02-14" 4.42 4.55 4.72 4.71 4.69 4.68 4.61 4.61 4.62 4.8 4.6
"2006-02-15" 4.39 4.55 4.7 4.7 4.71 4.68 4.6 4.6 4.61 4.78 4.58
"2006-02-16" 4.38 4.55 4.69 4.69 4.69 4.67 4.59 4.59 4.59 4.77 4.57
"2006-02-17" 4.39 4.54 4.69 4.68 4.66 4.64 4.55 4.54 4.54 4.71 4.51
"2006-02-21" 4.42 4.56 4.73 4.73 4.71 4.68 4.59 4.58 4.57 4.72 4.53
"2006-02-22" 4.44 4.57 4.7 4.69 4.68 4.66 4.57 4.55 4.53 4.68 4.48
"2006-02-23" 4.44 4.59 4.73 4.73 4.72 4.7 4.63 4.58 4.56 4.7 4.51
"2006-02-24" 4.45 4.6 4.73 4.73 4.74 4.7 4.64 4.6 4.58 4.71 4.52
"2006-02-27" 4.48 4.62 4.76 4.76 4.74 4.71 4.66 4.61 4.59 4.74 4.55
"2006-02-28" 4.47 4.62 4.74 4.73 4.69 4.67 4.61 4.57 4.55 4.7 4.51
"2006-03-01" 4.45 4.6 4.75 4.74 4.71 4.68 4.63 4.6 4.59 4.74 4.56
"2006-03-02" 4.45 4.62 4.75 4.74 4.72 4.72 4.68 4.66 4.64 4.8 4.62
"2006-03-03" 4.45 4.62 4.75 4.75 4.76 4.75 4.71 4.69 4.68 4.84 4.66
"2006-03-06" 4.44 4.6 4.77 4.77 4.77 4.77 4.76 4.74 4.74 4.91 4.72
"2006-03-07" 4.47 4.6 4.77 4.77 4.77 4.79 4.76 4.75 4.74 4.91 4.72
"2006-03-08" 4.45 4.58 4.77 4.76 4.72 4.77 4.75 4.74 4.73 4.91 4.72
